Time_Taken,Sensor 1,Sensor 2,Sensor 3,Sensor 4
651,1.074000001,1.011999965,0.792999983,0.316000015
652,1.074000001,1.011999965,0.792999983,0.321999997
653,1.074000001,1.011999965,0.796000004,0.324999988
655,1.074000001,1.011999965,0.796000004,0.331999987
657,1.074000001,1.011999965,0.800000012,0.338
659,1.074000001,1.011999965,0.800000012,0.340999991
661,1.074000001,1.011999965,0.800000012,0.34799999
663,1.074000001,1.011999965,0.802999973,0.354000002
665,1.074000001,1.016000032,0.802999973,0.35800001
667,1.074000001,1.011999965,0.802999973,0.363999993
669,1.074000001,1.011999965,0.805999994,0.367000014
671,1.074000001,1.016000032,0.805999994,0.374000013
673,1.074000001,1.016000032,0.805999994,0.379999995
675,1.074000001,1.016000032,0.809000015,0.386999995
677,1.074000001,1.011999965,0.809000015,0.389999986
679,1.074000001,1.011999965,0.809000015,0.393000007
681,1.074000001,1.011999965,0.811999977,0.400000006
683,1.070000052,1.016000032,0.811999977,0.405999988
685,1.074000001,1.016000032,0.811999977,0.409000009
687,1.074000001,1.016000032,0.811999977,0.412
689,1.074000001,1.016000032,0.815999985,0.419
691,1.074000001,1.016000032,0.815999985,0.421999991
693,1.074000001,1.016000032,0.819000006,0.425000012
696,1.074000001,1.016000032,0.819000006,0.42899999
698,1.070000052,1.016000032,0.819000006,0.435000002
700,1.070000052,1.016000032,0.819000006,0.441000015
703,1.070000052,1.016000032,0.822000027,0.448000014
706,1.070000052,1.016000032,0.822000027,0.453999996
709,1.070000052,1.016000032,0.824999988,0.460999995
712,1.070000052,1.016000032,0.824999988,0.467000008
714,1.070000052,1.016000032,0.824999988,0.469999999
716,1.070000052,1.016000032,0.828999996,0.476999998
718,1.070000052,1.016000032,0.828999996,0.48300001
720,1.070000052,1.011999965,0.828999996,0.486999989
722,1.070000052,1.016000032,0.832000017,0.49000001
724,1.070000052,1.016000032,0.832000017,0.493000001
726,1.067000031,1.016000032,0.832000017,0.495999992
728,1.070000052,1.016000032,0.834999979,0.5
730,1.067000031,1.016000032,0.834999979,0.505999982
732,1.067000031,1.016000032,0.834999979,0.512000024
735,1.067000031,1.016000032,0.834999979,0.515999973
738,1.067000031,1.016000032,0.838,0.522000015
741,1.067000031,1.016000032,0.841000021,0.528999984
744,1.067000031,1.016000032,0.841000021,0.532000005
747,1.067000031,1.016000032,0.845000029,0.537999988
751,1.067000031,1.016000032,0.845000029,0.541000009
753,1.067000031,1.016000032,0.845000029,0.541000009
755,1.067000031,1.016000032,0.84799999,0.547999978
757,1.067000031,1.016000032,0.84799999,0.550999999
759,1.067000031,1.011999965,0.84799999,0.55400002
761,1.067000031,1.016000032,0.851000011,0.55400002
763,1.067000031,1.016000032,0.851000011,0.56099999
765,1.067000031,1.016000032,0.851000011,0.56400001
767,1.067000031,1.016000032,0.851000011,0.566999972
769,1.067000031,1.016000032,0.853999972,0.569999993
771,1.067000031,1.016000032,0.853999972,0.574000001
773,1.067000031,1.016000032,0.853999972,0.579999983
775,1.067000031,1.016000032,0.85799998,0.579999983
777,1.067000031,1.016000032,0.85799998,0.583000004
778,1.067000031,1.016000032,0.85799998,0.587000012
779,1.067000031,1.016000032,0.861000001,0.589999974
781,1.067000031,1.016000032,0.861000001,0.592999995
783,1.067000031,1.016000032,0.861000001,0.596000016
785,1.070000052,1.016000032,0.861000001,0.600000024
787,1.070000052,1.016000032,0.861000001,0.602999985
789,1.070000052,1.016000032,0.861000001,0.606000006
791,1.070000052,1.016000032,0.861000001,0.609000027
793,1.070000052,1.016000032,0.864000022,0.611999989
795,1.070000052,1.016000032,0.861000001,0.615999997
797,1.070000052,1.016000032,0.861000001,0.619000018
799,1.070000052,1.016000032,0.864000022,0.619000018
802,1.070000052,1.016000032,0.861000001,0.625
804,1.070000052,1.016000032,0.864000022,0.625
806,1.070000052,1.016000032,0.864000022,0.632000029
808,1.070000052,1.016000032,0.864000022,0.632000029
810,1.070000052,1.016000032,0.864000022,0.63499999
812,1.070000052,1.016000032,0.864000022,0.638000011
814,1.070000052,1.016000032,0.864000022,0.640999973
816,1.070000052,1.016000032,0.864000022,0.640999973
818,1.070000052,1.019000053,0.864000022,0.648000002
820,1.070000052,1.019000053,0.864000022,0.648000002
822,1.070000052,1.019000053,0.864000022,0.651000023
824,1.070000052,1.019000053,0.864000022,0.657999992
826,1.070000052,1.019000053,0.864000022,0.657999992
828,1.070000052,1.019000053,0.864000022,0.661000013
830,1.070000052,1.019000053,0.864000022,0.663999975
832,1.070000052,1.019000053,0.864000022,0.666999996
834,1.070000052,1.019000053,0.864000022,0.666999996
837,1.070000052,1.019000053,0.866999984,0.670000017
840,1.070000052,1.019000053,0.866999984,0.676999986
842,1.070000052,1.019000053,0.866999984,0.680000007
844,1.070000052,1.019000053,0.866999984,0.683000028
846,1.070000052,1.019000053,0.866999984,0.683000028
848,1.070000052,1.019000053,0.866999984,0.686999977
850,1.070000052,1.016000032,0.866999984,0.686999977
852,1.070000052,1.019000053,0.864000022,0.689999998
854,1.070000052,1.019000053,0.866999984,0.693000019
856,1.070000052,1.019000053,0.866999984,0.69599998
859,1.070000052,1.019000053,0.866999984,0.699999988
861,1.070000052,1.019000053,0.866999984,0.703000009
863,1.070000052,1.019000053,0.866999984,0.70599997
865,1.070000052,1.019000053,0.870000005,0.708999991
867,1.070000052,1.019000053,0.866999984,0.708999991
869,1.070000052,1.019000053,0.870000005,0.712000012
871,1.070000052,1.019000053,0.870000005,0.712000012
873,1.067000031,1.019000053,0.870000005,0.718999982
875,1.070000052,1.019000053,0.870000005,0.718999982
877,1.070000052,1.019000053,0.870000005,0.722000003
879,1.070000052,1.019000053,0.866999984,0.722000003
881,1.070000052,1.019000053,0.870000005,0.725000024
883,1.070000052,1.019000053,0.870000005,0.728999972
885,1.070000052,1.019000053,0.870000005,0.731999993
887,1.067000031,1.019000053,0.870000005,0.735000014
890,1.070000052,1.019000053,0.870000005,0.735000014
893,1.070000052,1.019000053,0.870000005,0.737999976
896,1.070000052,1.019000053,0.874000013,0.745000005
899,1.070000052,1.019000053,0.870000005,0.748000026
902,1.070000052,1.019000053,0.874000013,0.748000026
904,1.070000052,1.019000053,0.874000013,0.750999987
906,1.070000052,1.019000053,0.874000013,0.754000008
908,1.070000052,1.019000053,0.874000013,0.754000008
910,1.070000052,1.019000053,0.874000013,0.758000016
913,1.070000052,1.019000053,0.874000013,0.760999978
915,1.070000052,1.019000053,0.874000013,0.760999978
917,1.070000052,1.019000053,0.874000013,0.763999999
919,1.070000052,1.019000053,0.876999974,0.763999999
921,1.070000052,1.019000053,0.874000013,0.76700002
923,1.067000031,1.019000053,0.874000013,0.76700002
925,1.070000052,1.019000053,0.874000013,0.76700002
927,1.070000052,1.019000053,0.874000013,0.769999981
929,1.070000052,1.019000053,0.874000013,0.769999981
931,1.070000052,1.019000053,0.874000013,0.773999989
933,1.070000052,1.019000053,0.874000013,0.773999989
935,1.070000052,1.019000053,0.876999974,0.77700001
937,1.070000052,1.019000053,0.876999974,0.77700001
939,1.070000052,1.019000053,0.876999974,0.779999971
942,1.070000052,1.019000053,0.876999974,0.782999992
945,1.070000052,1.019000053,0.876999974,0.787
948,1.070000052,1.019000053,0.874000013,0.790000021
951,1.070000052,1.019000053,0.876999974,0.792999983
953,1.070000052,1.019000053,0.876999974,0.792999983
955,1.070000052,1.019000053,0.876999974,0.796000004
957,1.074000001,1.016000032,0.876999974,0.800000012
959,1.074000001,1.019000053,0.876999974,0.800000012
961,1.074000001,1.016000032,0.876999974,0.802999973
963,1.074000001,1.019000053,0.876999974,0.802999973
965,1.074000001,1.019000053,0.876999974,0.805999994
966,1.074000001,1.019000053,0.876999974,0.805999994
967,1.074000001,1.019000053,0.876999974,0.809000015
968,1.074000001,1.019000053,0.876999974,0.805999994
970,1.074000001,1.016000032,0.876999974,0.805999994
971,1.074000001,1.019000053,0.876999974,0.809000015
972,1.074000001,1.019000053,0.876999974,0.809000015
973,1.074000001,1.019000053,0.876999974,0.809000015
974,1.074000001,1.016000032,0.876999974,0.809000015
975,1.074000001,1.019000053,0.876999974,0.811999977
977,1.074000001,1.019000053,0.876999974,0.811999977
979,1.074000001,1.019000053,0.879999995,0.815999985
981,1.077000022,1.016000032,0.876999974,0.815999985
983,1.077000022,1.016000032,0.876999974,0.819000006
985,1.077000022,1.016000032,0.876999974,0.822000027
987,1.077000022,1.019000053,0.876999974,0.824999988
989,1.077000022,1.016000032,0.876999974,0.824999988
991,1.077000022,1.016000032,0.879999995,0.824999988
993,1.077000022,1.016000032,0.879999995,0.828999996
995,1.077000022,1.016000032,0.879999995,0.832000017
997,1.077000022,1.016000032,0.879999995,0.832000017
999,1.077000022,1.016000032,0.879999995,0.832000017
1001,1.077000022,1.016000032,0.879999995,0.834999979
1003,1.077000022,1.016000032,0.879999995,0.834999979
1005,1.077000022,1.016000032,0.879999995,0.838
1007,1.077000022,1.016000032,0.879999995,0.841000021
1009,1.077000022,1.016000032,0.879999995,0.841000021
1011,1.077000022,1.016000032,0.879999995,0.841000021
1013,1.077000022,1.016000032,0.879999995,0.845000029
1015,1.080000043,1.016000032,0.879999995,0.84799999
1017,1.077000022,1.016000032,0.879999995,0.84799999
1019,1.077000022,1.016000032,0.879999995,0.851000011
1021,1.077000022,1.016000032,0.879999995,0.851000011
1024,1.077000022,1.016000032,0.879999995,0.851000011
1027,1.077000022,1.016000032,0.879999995,0.853999972
1029,1.077000022,1.016000032,0.879999995,0.85799998
1031,1.080000043,1.016000032,0.879999995,0.853999972
1033,1.077000022,1.016000032,0.879999995,0.85799998
1035,1.077000022,1.016000032,0.879999995,0.85799998
1037,1.080000043,1.016000032,0.879999995,0.861000001
1039,1.077000022,1.016000032,0.883000016,0.861000001
1041,1.077000022,1.016000032,0.883000016,0.864000022
1043,1.080000043,1.016000032,0.883000016,0.864000022
1045,1.077000022,1.016000032,0.883000016,0.864000022
1047,1.080000043,1.016000032,0.883000016,0.866999984
1049,1.077000022,1.011999965,0.883000016,0.866999984
1051,1.080000043,1.016000032,0.883000016,0.866999984
1053,1.080000043,1.011999965,0.883000016,0.870000005
1055,1.077000022,1.016000032,0.883000016,0.870000005
1057,1.077000022,1.016000032,0.883000016,0.874000013
1059,1.077000022,1.016000032,0.883000016,0.874000013
1061,1.080000043,1.016000032,0.883000016,0.876999974
1063,1.077000022,1.016000032,0.883000016,0.876999974
1065,1.077000022,1.016000032,0.883000016,0.876999974
1067,1.077000022,1.016000032,0.883000016,0.879999995
1069,1.077000022,1.016000032,0.883000016,0.883000016
1071,1.077000022,1.016000032,0.883000016,0.883000016
1073,1.077000022,1.016000032,0.883000016,0.883000016
1076,1.077000022,1.016000032,0.883000016,0.883000016
1078,1.080000043,1.016000032,0.883000016,0.887000024
1081,1.077000022,1.016000032,0.883000016,0.889999986
1084,1.077000022,1.016000032,0.883000016,0.889999986
1087,1.077000022,1.016000032,0.883000016,0.893000007
1090,1.077000022,1.016000032,0.883000016,0.893000007
1092,1.077000022,1.016000032,0.883000016,0.893000007
1094,1.077000022,1.016000032,0.883000016,0.896000028
1096,1.077000022,1.016000032,0.883000016,0.896000028
1098,1.077000022,1.016000032,0.883000016,0.899999976
1100,1.077000022,1.016000032,0.883000016,0.896000028
1102,1.077000022,1.016000032,0.883000016,0.896000028
1104,1.077000022,1.016000032,0.883000016,0.899999976
1106,1.077000022,1.016000032,0.883000016,0.899999976
1108,1.077000022,1.016000032,0.883000016,0.899999976
1110,1.077000022,1.016000032,0.883000016,0.899999976
1112,1.077000022,1.016000032,0.883000016,0.902999997
1114,1.077000022,1.016000032,0.883000016,0.902999997
1116,1.077000022,1.019000053,0.883000016,0.902999997
1118,1.080000043,1.016000032,0.883000016,0.902999997
1120,1.077000022,1.016000032,0.883000016,0.906000018
1122,1.077000022,1.016000032,0.887000024,0.902999997
1124,1.077000022,1.016000032,0.883000016,0.906000018
1126,1.077000022,1.016000032,0.883000016,0.906000018
1127,1.080000043,1.019000053,0.883000016,0.906000018
1128,1.080000043,1.016000032,0.883000016,0.908999979
1130,1.077000022,1.016000032,0.883000016,0.906000018
1131,1.080000043,1.016000032,0.883000016,0.908999979
1132,1.077000022,1.019000053,0.883000016,0.908999979
1133,1.077000022,1.019000053,0.883000016,0.908999979
1135,1.077000022,1.019000053,0.883000016,0.908999979
1137,1.080000043,1.019000053,0.887000024,0.912
1139,1.080000043,1.019000053,0.883000016,0.908999979
1141,1.080000043,1.019000053,0.883000016,0.908999979
1143,1.080000043,1.019000053,0.883000016,0.912
1145,1.080000043,1.019000053,0.883000016,0.912
1147,1.080000043,1.019000053,0.887000024,0.916000009
1149,1.080000043,1.019000053,0.887000024,0.916000009
1151,1.080000043,1.019000053,0.887000024,0.916000009
