Time_Taken,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5
2267,0.629000008,0.453999996,0.758000016,1.003000021,0.725000024
2269,0.629000008,0.451000005,0.754000008,1.003000021,0.722000003
2271,0.629000008,0.453999996,0.758000016,1.003000021,0.725000024
2273,0.629000008,0.453999996,0.754000008,1,0.725000024
2276,0.629000008,0.451000005,0.754000008,1,0.725000024
2278,0.629000008,0.451000005,0.754000008,1,0.722000003
2280,0.625,0.451000005,0.754000008,1.003000021,0.722000003
2282,0.625,0.453999996,0.754000008,1,0.725000024
2284,0.629000008,0.453999996,0.754000008,1,0.722000003
2286,0.625,0.453999996,0.754000008,1,0.722000003
2288,0.625,0.453999996,0.754000008,1,0.722000003
2291,0.625,0.451000005,0.754000008,1,0.722000003
2294,0.625,0.451000005,0.754000008,1,0.722000003
2297,0.625,0.451000005,0.754000008,1,0.722000003
2300,0.625,0.451000005,0.754000008,0.995999992,0.722000003
2303,0.625,0.451000005,0.754000008,1,0.722000003
2306,0.625,0.451000005,0.750999987,0.995999992,0.722000003
2309,0.621999979,0.451000005,0.750999987,0.995999992,0.722000003
2312,0.625,0.451000005,0.750999987,0.995999992,0.722000003
2315,0.625,0.451000005,0.750999987,0.995999992,0.722000003
2318,0.625,0.451000005,0.750999987,0.995999992,0.718999982
2321,0.625,0.451000005,0.750999987,0.995999992,0.718999982
2324,0.625,0.451000005,0.750999987,0.995999992,0.718999982
2328,0.621999979,0.451000005,0.750999987,0.992999971,0.718999982
2331,0.625,0.451000005,0.748000026,0.992999971,0.718999982
2336,0.625,0.451000005,0.748000026,0.992999971,0.718999982
2339,0.625,0.451000005,0.748000026,0.992999971,0.718999982
2342,0.621999979,0.451000005,0.748000026,0.992999971,0.718999982
2345,0.621999979,0.451000005,0.748000026,0.992999971,0.718999982
2347,0.621999979,0.451000005,0.748000026,0.992999971,0.716000021
2349,0.621999979,0.451000005,0.748000026,0.992999971,0.716000021
2351,0.621999979,0.451000005,0.748000026,0.992999971,0.716000021
2353,0.621999979,0.451000005,0.748000026,0.992999971,0.716000021
2355,0.621999979,0.451000005,0.748000026,0.992999971,0.716000021
2357,0.621999979,0.451000005,0.748000026,0.99000001,0.716000021
2359,0.621999979,0.451000005,0.745000005,0.99000001,0.716000021
2361,0.621999979,0.451000005,0.748000026,0.99000001,0.716000021
2363,0.619000018,0.451000005,0.748000026,0.99000001,0.716000021
2365,0.621999979,0.451000005,0.745000005,0.99000001,0.716000021
2367,0.619000018,0.451000005,0.748000026,0.99000001,0.716000021
2374,0.619000018,0.451000005,0.745000005,0.99000001,0.716000021
2382,0.619000018,0.448000014,0.745000005,0.986999989,0.716000021
2385,0.619000018,0.448000014,0.745000005,0.986999989,0.712000012
2393,0.619000018,0.448000014,0.745000005,0.986999989,0.712000012
2398,0.619000018,0.448000014,0.745000005,0.986999989,0.712000012
2404,0.619000018,0.448000014,0.745000005,0.986999989,0.712000012
2410,0.619000018,0.448000014,0.740999997,0.986999989,0.712000012
2413,0.619000018,0.448000014,0.740999997,0.98299998,0.712000012
2415,0.619000018,0.448000014,0.740999997,0.98299998,0.712000012
2419,0.619000018,0.448000014,0.740999997,0.98299998,0.712000012
2423,0.619000018,0.448000014,0.740999997,0.98299998,0.708999991
2425,0.619000018,0.448000014,0.740999997,0.98299998,0.708999991
2428,0.615999997,0.448000014,0.740999997,0.98299998,0.708999991
2430,0.615999997,0.444999993,0.740999997,0.98299998,0.712000012
2438,0.615999997,0.448000014,0.740999997,0.980000019,0.708999991
2442,0.615999997,0.448000014,0.737999976,0.98299998,0.708999991
2446,0.615999997,0.448000014,0.737999976,0.980000019,0.708999991
2450,0.615999997,0.448000014,0.737999976,0.980000019,0.708999991
2454,0.611999989,0.448000014,0.737999976,0.980000019,0.708999991
2457,0.615999997,0.448000014,0.737999976,0.980000019,0.708999991
2460,0.615999997,0.444999993,0.737999976,0.980000019,0.69599998
2463,0.615999997,0.448000014,0.737999976,0.980000019,0.708999991
2466,0.615999997,0.448000014,0.737999976,0.980000019,0.69599998
2472,0.611999989,0.448000014,0.735000014,0.976999998,0.69599998
2475,0.611999989,0.448000014,0.735000014,0.976999998,0.708999991
2478,0.611999989,0.444999993,0.735000014,0.980000019,0.699999988
2481,0.611999989,0.444999993,0.735000014,0.976999998,0.70599997
2484,0.611999989,0.448000014,0.735000014,0.976999998,0.69599998
2488,0.611999989,0.448000014,0.735000014,0.976999998,0.69599998
2492,0.611999989,0.444999993,0.735000014,0.976999998,0.69599998
2495,0.611999989,0.444999993,0.731999993,0.976999998,0.708999991
2498,0.611999989,0.444999993,0.735000014,0.973999977,0.69599998
2503,0.611999989,0.444999993,0.735000014,0.976999998,0.70599997
2506,0.611999989,0.444999993,0.735000014,0.973999977,0.69599998
2509,0.611999989,0.448000014,0.735000014,0.973999977,0.70599997
2512,0.611999989,0.444999993,0.731999993,0.973999977,0.693000019
2515,0.611999989,0.444999993,0.731999993,0.973999977,0.70599997
2518,0.611999989,0.444999993,0.731999993,0.973999977,0.69599998
2521,0.611999989,0.444999993,0.731999993,0.973999977,0.70599997
2524,0.611999989,0.444999993,0.731999993,0.973999977,0.69599998
2526,0.611999989,0.444999993,0.731999993,0.973999977,0.69599998
2528,0.611999989,0.444999993,0.731999993,0.973999977,0.69599998
2530,0.611999989,0.444999993,0.731999993,0.970000029,0.693000019
2532,0.609000027,0.444999993,0.731999993,0.970000029,0.693000019
2534,0.609000027,0.444999993,0.731999993,0.970000029,0.693000019
2536,0.609000027,0.444999993,0.731999993,0.970000029,0.693000019
2539,0.609000027,0.444999993,0.731999993,0.970000029,0.703000009
2542,0.609000027,0.444999993,0.731999993,0.970000029,0.693000019
2545,0.609000027,0.444999993,0.728999972,0.970000029,0.703000009
2548,0.609000027,0.444999993,0.728999972,0.970000029,0.703000009
2550,0.609000027,0.444999993,0.728999972,0.970000029,0.693000019
2552,0.609000027,0.444999993,0.728999972,0.970000029,0.693000019
2554,0.609000027,0.444999993,0.728999972,0.970000029,0.693000019
2556,0.609000027,0.441000015,0.728999972,0.970000029,0.693000019
2558,0.609000027,0.444999993,0.728999972,0.967000008,0.693000019
2560,0.609000027,0.444999993,0.728999972,0.967000008,0.693000019
2562,0.609000027,0.444999993,0.728999972,0.967000008,0.703000009
2564,0.609000027,0.444999993,0.728999972,0.967000008,0.703000009
2566,0.609000027,0.444999993,0.728999972,0.967000008,0.699999988
2568,0.609000027,0.444999993,0.728999972,0.967000008,0.689999998
2570,0.609000027,0.444999993,0.728999972,0.967000008,0.689999998
2572,0.606000006,0.444999993,0.728999972,0.967000008,0.689999998
2574,0.609000027,0.441000015,0.728999972,0.967000008,0.693000019
2577,0.609000027,0.441000015,0.728999972,0.967000008,0.699999988
2580,0.606000006,0.444999993,0.725000024,0.967000008,0.699999988
2583,0.606000006,0.444999993,0.725000024,0.967000008,0.699999988
